appid,name,release_year,release_date,genres,categories,price,recommendations,developer,publisher,year,genre_list
3057270,Seafarer's Gambit,2024,2024-07-05,Action;Adventure;Indie;RPG;Strategy,Single-player;Family Sharing,3.99,0,Bouncy Rocket Studios,Bouncy Rocket Studios,2024.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
3822840,Capitalist Misadventures,2025,2025-07-25,Casual;Indie;Simulation;Strategy,Single-player;Save Anytime;Family Sharing,7.99,0,Caramelo Studios,Caramelo Studios,2025.0,"['Casual', 'Indie', 'Simulation', 'Strategy']"
3216640,The Beast and the Princess,2025,2025-06-17,Adventure;Indie;Strategy,Single-player;Steam Achievements;Full controller support;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input;Steam Cloud;Steam Leaderboards;Family Sharing,12.99,0,Libragames,Libragames,2025.0,"['Adventure', 'Indie', 'Strategy']"
2403620,Air Twister,2023,2023-11-10,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,24.99,0,YS Net,ININ,2023.0,"['Action', 'Adventure', 'Indie']"
1538040,Horde Slayer,2021,2021-03-19,Action;Adventure;Casual;Indie;RPG;Early Access,Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,3.99,0,Wagner Rodrigues,Wagner Rodrigues,2021.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Early Access']"
1724980,The Lone Blade,2023,2023-05-23,Action;Adventure;Indie,Single-player;Full controller support;Family Sharing,1.99,0,Opia Games,"Opia Games,Plug In Digital",2023.0,"['Action', 'Adventure', 'Indie']"
3822820,Knight Crawler,2025,2025-07-16,Action;Indie;Free To Play,Single-player;Full controller support;Custom Volume Controls;Keyboard Only Option;Playable without Timed Input,0.0,0,Taylor Conolley,Taylor Conolley,2025.0,"['Action', 'Indie', 'Free To Play']"
3863460,No Sweet Looks,2025,2025-08-28,Action;Indie,Single-player;Steam Achievements;Full controller support;Save Anytime;Stereo Sound;Surround Sound;Family Sharing,2.99,0,halvardo13,halvardo13,2025.0,"['Action', 'Indie']"
3216610,League Of Tacticians: Path of Tarkan,2025,2025-05-21,Adventure;RPG;Strategy,Single-player;Family Sharing,3.99,0,Oba Games,Oba Games,2025.0,"['Adventure', 'RPG', 'Strategy']"
3057250,Pennylooter,2025,2025-09-08,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,6.99,0,Josh Sellers,Josh Sellers,2025.0,"['Action', 'Indie']"
3015780,Escape From Hell,2025,,Adventure;Casual;Indie;Early Access,Single-player;Steam Achievements;Family Sharing,0.0,0,Manushins,Manushins,,"['Adventure', 'Casual', 'Indie', 'Early Access']"
1543710,Beyond Galaxyland,2024,2024-09-24,Action;Adventure;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Family Sharing,14.99,240,Sam Enright,United Label,2024.0,"['Action', 'Adventure', 'Indie', 'RPG']"
