appid,name,release_year,release_date,genres,categories,price,recommendations,developer,publisher
3057270,Seafarer's Gambit,2024,"Jul 5, 2024",Action;Adventure;Indie;RPG;Strategy,Single-player;Family Sharing,3.99,0,Bouncy Rocket Studios,Bouncy Rocket Studios
3822840,Capitalist Misadventures,2025,"Jul 25, 2025",Casual;Indie;Simulation;Strategy,Single-player;Save Anytime;Family Sharing,7.99,0,Caramelo Studios,Caramelo Studios
3216640,The Beast and the Princess,2025,"Jun 17, 2025",Adventure;Indie;Strategy,Single-player;Steam Achievements;Full controller support;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input;Steam Cloud;Steam Leaderboards;Family Sharing,12.99,0,Libragames,Libragames
2403620,Air Twister,2023,"Nov 10, 2023",Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,24.99,0,YS Net,ININ
1538040,Horde Slayer,2021,"Mar 19, 2021",Action;Adventure;Casual;Indie;RPG;Early Access,Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,3.99,0,Wagner Rodrigues,Wagner Rodrigues
1724980,The Lone Blade,2023,"May 23, 2023",Action;Adventure;Indie,Single-player;Full controller support;Family Sharing,1.99,0,Opia Games,Opia Games;Plug In Digital
3822820,Knight Crawler,2025,"Jul 16, 2025",Action;Indie;Free To Play,Single-player;Full controller support;Custom Volume Controls;Keyboard Only Option;Playable without Timed Input,0.0,0,Taylor Conolley,Taylor Conolley
3863460,No Sweet Looks,2025,"Aug 28, 2025",Action;Indie,Single-player;Steam Achievements;Full controller support;Save Anytime;Stereo Sound;Surround Sound;Family Sharing,2.99,0,halvardo13,halvardo13
3216610,League Of Tacticians: Path of Tarkan,2025,"May 21, 2025",Adventure;RPG;Strategy,Single-player;Family Sharing,3.99,0,Oba Games,Oba Games
3057250,Pennylooter,2025,"Sep 8, 2025",Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,6.99,0,Josh Sellers,Josh Sellers
3015780,Escape From Hell,2025,Q4 2025,Adventure;Casual;Indie;Early Access,Single-player;Steam Achievements;Family Sharing,0.0,0,Manushins,Manushins
1543710,Beyond Galaxyland,2024,"Sep 24, 2024",Action;Adventure;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Family Sharing,14.99,240,Sam Enright,United Label
1538030,Steinstern: Spacewar,2025,"Mar 19, 2025",Action;Casual;RPG,Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Camera Comfort;Custom Volume Controls;Adjustable Difficulty;Save Anytime;Stereo Sound;Surround Sound;Partial Controller Support;Steam Cloud;Stats;Remote Play Together;Family Sharing,3.99,0,Chris Baum,Chris Baum
2002700,AI UNDER TEST,2022,"Jun 13, 2022",Indie;Strategy,Single-player;Steam Achievements;Family Sharing,2.99,0,Tlantico Studio,Tlantico Studio
1340480,The Cosmic Wheel Sisterhood,2023,"Aug 16, 2023",Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,8.99,4858,Deconstructeam,Devolver Digital
3216500,SHUTEN ORDER,2025,"Sep 5, 2025",Adventure,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Family Sharing,49.99,451,Neilo Inc.,"EXNOA LLC;Spike Chunsoft Co., Ltd."
3015740,Ma vie en rogue,2025,"May 13, 2025",Action;Adventure;Casual;Indie;RPG;Simulation;Strategy;Early Access,Single-player;Steam Achievements;Color Alternatives;Custom Volume Controls;Adjustable Difficulty;Save Anytime;Family Sharing,0.99,0,FDS,Amateurculture
2403600,"Jamboy, a Jelly-cious Hero",2025,"Sep 25, 2025",Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Custom Volume Controls;Adjustable Difficulty;Keyboard Only Option;Playable without Timed Input;Subtitle Options;Steam Cloud;Family Sharing,7.99,0,Nakama Game Studio,Nakama Game Studio
1538010,Shoresy: Legends of the North,2025,"Nov 22, 2025",Action;Indie;RPG;Sports,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Full controller support;Remote Play Together;Family Sharing,19.99,0,Treewood Games,New Metric Media;Play Fun Games
1789220,Horror haze,2023,"Jan 17, 2023",Action;Adventure;Indie,Single-player;Family Sharing,0.99,0,Escape Horror Games,Escape Horror Games
1599130,Pavel Repin's Collection,2021,"Oct 23, 2021",Action;Adventure;Massively Multiplayer;Racing;RPG;Simulation;Sports;Free To Play,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Shared/Split Screen PvP;Co-op;Online Co-op;LAN Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Full controller support;Remote Play on Phone;Remote Play on Tablet;Remote Play on TV;Remote Play Together,0.0,0,Pavel Repin,Repin Develop
1314230,Battle Dawn 2: Terra Reborn,2022,"Oct 17, 2022",Free To Play;Massively Multiplayer;Strategy,Multi-player;MMO;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;In-App Purchases,0.0,0,Zero Games Studios,Gato Games
3216430,Blue Light,2024,"Sep 30, 2024",Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Surround Sound;Family Sharing,4.99,0,1FOREVERS,1FOREVERS
3057190,LOOTPLOT,2025,"Sep 9, 2025",Indie;Strategy,Single-player;Steam Achievements;Steam Cloud;Family Sharing,6.99,183,CodeTheory Ltd,CodeTheory Ltd
2403590,Hikari no Hime:A Magic Fiction,2023,"Dec 8, 2023",Adventure;Indie,Single-player;Family Sharing,9.99,0,MagicHouse,MagicHouse
1981780,FAMILY BATTLE タッグアリーナ,2022,"Aug 5, 2022",Action;Casual;Indie;Early Access,Multi-player;PvP;Online PvP;Co-op;Online Co-op;Partial Controller Support;Family Sharing,9.99,0,nekogameteacher,Kodansha
3822740,Tactical2,2025,"Aug 30, 2025",Strategy;Free To Play;Early Access,Multi-player;PvP;Online PvP,0.0,0,D/Vision Lab s.r.l.,D/Vision Lab s.r.l.
1537980,Myriavora,2021,"Jul 5, 2021",Action;Indie;Early Access,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards;Family Sharing,12.99,0,Jürgen Hoffmann,Jürgen Hoffmann
3216370,Colony X,2025,Q4 2025,Action,Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Family Sharing,0.0,0,WINDY TALE,WINDY TALE
3057180,Abnormal1999:Sector 49,2024,"Jul 26, 2024",Adventure,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Family Sharing,2.99,131,QZQ Studio,QZQ Studio
2403570,malViolence - Definitive Edition,2023,"May 18, 2023",Casual;Indie;Free To Play,Single-player;Steam Achievements;Captions available;Adjustable Text Size;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Narrated Game Menus;Playable without Timed Input;Save Anytime;Subtitle Options,0.0,0,Mado;Team malViolence,Mado
3015690,Super Cursor,2025,"Jun 20, 2025",Action;Adventure;Indie,Single-player;Multi-player;Co-op;Online Co-op;Family Sharing,4.99,0,Zenfuso,Zenfuso
2446340,Garestia,2023,"Jun 19, 2023",Free To Play,Multi-player;PvP;Online PvP;Co-op;Online Co-op;Steam Achievements,0.0,0,yugamesplay,yugamesplay
1537970,Death Box,2021,"Feb 12, 2021",Action;Indie,Single-player;Steam Achievements;Family Sharing,2.99,0,Downtown Blast,Downtown Blast
1461570,Odenavirus Online,2021,"Jan 22, 2021",Casual;Indie;Simulation,Single-player;Multi-player;MMO;Family Sharing,1.99,0,Pedro Roujin,Stone Angel Games
3822730,Ghostmoons - Arcade,2025,"Jul 25, 2025",Action;Simulation;Free To Play,Single-player;Full controller support,0.0,0,TSL Research,TSL Research
3863400,Not My Floor,2025,Q4 2025,Indie,Single-player;Steam Achievements;Full controller support;Camera Comfort;Custom Volume Controls;Keyboard Only Option;Mouse Only Option;Stereo Sound;Surround Sound;Steam Cloud;Family Sharing,0.0,0,MegobariGames;Games4Wonders,MegobariGames;Games4Wonders
2403560,Royal Class Poker,2023,"May 5, 2023",Casual,Single-player;Steam Cloud;Family Sharing,9.99,0,magnussoft,magnussoft
3015650,Chrono,2024,"Oct 23, 2024",Casual;Indie,Single-player;Steam Achievements;Family Sharing,2.99,0,David Simoes,David Simoes
2446330,ニャンパヤ,2023,"Jul 4, 2023",Casual;Free To Play,Single-player;Multi-player;PvP;Online PvP;Cross-Platform Multiplayer,0.0,0,TEPT,TEPT
1537960,Click and Relax,2021,"Feb 11, 2021",Action;Casual;Indie;Simulation;Strategy,Single-player;Steam Achievements;Steam Leaderboards;Family Sharing,199.99,0,Hede,Hede
