appid,genre
3057270,Action
3057270,Adventure
3057270,Indie
3057270,RPG
3057270,Strategy
3822840,Casual
3822840,Indie
3822840,Simulation
3822840,Strategy
3216640,Adventure
3216640,Indie
3216640,Strategy
2403620,Action
2403620,Adventure
2403620,Indie
1538040,Action
1538040,Adventure
1538040,Casual
1538040,Indie
1538040,RPG
1538040,Early Access
1724980,Action
1724980,Adventure
1724980,Indie
3822820,Action
3822820,Indie
3822820,Free To Play
3863460,Action
3863460,Indie
3216610,Adventure
3216610,RPG
3216610,Strategy
3057250,Action
3057250,Indie
3015780,Adventure
3015780,Casual
3015780,Indie
3015780,Early Access
1543710,Action
1543710,Adventure
1543710,Indie
1543710,RPG
1538030,Action
1538030,Casual
1538030,RPG
2002700,Indie
2002700,Strategy
1340480,Adventure
1340480,Indie
3216500,Adventure
3015740,Action
3015740,Adventure
3015740,Casual
3015740,Indie
3015740,RPG
3015740,Simulation
3015740,Strategy
3015740,Early Access
2403600,Action
2403600,Adventure
2403600,Indie
1538010,Action
1538010,Indie
1538010,RPG
1538010,Sports
1789220,Action
1789220,Adventure
1789220,Indie
1599130,Action
1599130,Adventure
1599130,Massively Multiplayer
1599130,Racing
1599130,RPG
1599130,Simulation
1599130,Sports
1599130,Free To Play
1314230,Free To Play
1314230,Massively Multiplayer
1314230,Strategy
3216430,Action
3216430,Adventure
3216430,Indie
3057190,Indie
3057190,Strategy
2403590,Adventure
2403590,Indie
1981780,Action
1981780,Casual
1981780,Indie
1981780,Early Access
3822740,Strategy
3822740,Free To Play
3822740,Early Access
1537980,Action
1537980,Indie
1537980,Early Access
3216370,Action
3057180,Adventure
2403570,Casual
2403570,Indie
2403570,Free To Play
3015690,Action
3015690,Adventure
3015690,Indie
2446340,Free To Play
1537970,Action
1537970,Indie
1461570,Casual
1461570,Indie
1461570,Simulation
3822730,Action
3822730,Simulation
3822730,Free To Play
3863400,Indie
2403560,Casual
3015650,Casual
3015650,Indie
2446330,Casual
2446330,Free To Play
1521360,Adventure
1521360,Indie
3822720,Action
3822720,Casual
3822720,Indie
3863390,Indie
3863390,Simulation
3216330,Adventure
3057060,Indie
3057060,Sports
2446320,Action
2446320,Free To Play
2446320,Indie
3015640,Action
3015640,Free To Play
1543690,RPG
1906250,Casual
1906250,Simulation
3863380,Casual
3863380,Free To Play
3863380,Early Access
3015620,Simulation
3015620,Strategy
2446270,RPG
1480740,Casual
1480740,Indie
1480740,Simulation
1480740,Strategy
1580380,Action
1580380,Casual
1580380,Indie
1580380,Racing
1789210,Action
1789210,Adventure
1789210,Casual
1789210,Indie
1789210,RPG
1789210,Simulation
1789210,Strategy
1789210,Early Access
1599110,Action
1599110,Adventure
1599110,Casual
1599110,Indie
1599110,Early Access
3863340,Action
3863340,Adventure
3863340,Indie
3863340,Simulation
3863340,Strategy
3216310,Adventure
3216310,Indie
3216310,Strategy
3216310,Free To Play
3057020,Action
3057020,Adventure
3057020,Indie
3015610,Casual
3015610,Indie
3015610,Free To Play
2403450,Action
2403450,Casual
2403450,Indie
2446250,Adventure
2446250,Strategy
2446250,Early Access
1981740,Action
1981740,Adventure
1981740,Casual
1981740,Indie
1981740,Massively Multiplayer
1981740,Racing
1981740,RPG
1537930,Casual
1537930,Indie
3822640,Indie
3216300,Action
3216300,Adventure
3216300,Casual
3216300,Indie
3216300,Simulation
2403430,Indie
2403430,RPG
2403430,Sports
2403430,Strategy
2446200,Casual
2446200,Indie
2446200,Simulation
3822630,Action
3822630,Adventure
3822630,Indie
3863300,Indie
3863300,RPG
3863300,Free To Play
3056980,Casual
3056980,Indie
3056980,Strategy
3015580,Adventure
3015580,Casual
3015580,RPG
3015580,Free To Play
2403390,Casual
2446190,Action
2446190,Free To Play
2446190,Indie
1537910,Indie
1537910,RPG
1537910,Simulation
1537910,Strategy
1521330,Casual
1521330,Indie
1521330,Simulation
1521330,Strategy
1724910,Adventure
1724910,Casual
1724910,Indie
1724910,RPG
1724910,Strategy
3822620,Adventure
3822620,Indie
3822620,RPG
3056960,Adventure
3056960,Indie
2446180,Action
2446180,Adventure
2446180,Casual
2446180,Early Access
3015510,Action
3015510,Adventure
3015510,Indie
3015510,RPG
3015510,Strategy
1543650,Casual
1543650,Indie
1543650,Racing
1543650,Strategy
1537850,Indie
1906230,Action
1906230,Indie
1906230,Simulation
1906230,Early Access
2002670,Action
2002670,Casual
2002670,Indie
3822600,Casual
3822600,Strategy
3216220,Casual
3216220,Free To Play
3056940,Casual
3056940,Free To Play
3015460,Adventure
3015460,Casual
3015460,Indie
3015460,Simulation
3015460,Free To Play
2403370,Action
2403370,Casual
2446170,Action
2446170,Adventure
2446170,Casual
2446170,Indie
2446170,Strategy
1537830,Action
1537830,Adventure
1537830,Casual
1537830,Racing
1537830,Simulation
1537830,Sports
1537830,Free To Play
1580340,Adventure
1580340,Casual
1580340,Indie
1789180,Casual
1789180,Indie
1599080,Casual
1599080,Indie
3822580,Adventure
3822580,Casual
3822580,Indie
3822580,RPG
3863220,Action
3863220,Adventure
3863220,Casual
3863220,Indie
3863220,Racing
3056890,Strategy
3015400,Action
3015400,Adventure
3015400,Casual
3015400,Indie
3015400,RPG
3015400,Simulation
3015400,Strategy
2403350,Casual
2403350,Indie
2446160,Casual
1981710,Action
1981710,Adventure
1981710,Free To Play
1537820,Adventure
1537820,Indie
1314170,Adventure
1314170,Casual
1314170,Indie
1314170,RPG
1314170,Strategy
1314170,Early Access
3216200,Action
3216200,Adventure
3216200,Indie
3056870,Indie
3056870,Simulation
3056870,Free To Play
2403340,Adventure
2403340,Casual
2403340,Indie
2403340,RPG
2403340,Free To Play
2446130,Casual
2446130,Indie
2446130,Simulation
3822500,Adventure
3822500,Indie
3822500,Free To Play
3216190,RPG
3056860,Action
2403320,Casual
2403320,Indie
2403320,RPG
2446080,Indie
1537800,Adventure
1537800,Casual
3216170,RPG
2446070,Action
2446070,Adventure
2446070,Casual
2446070,Indie
2446070,Early Access
2403290,Adventure
2403290,Early Access
3015350,Action
3015350,Adventure
3015350,Indie
1543630,Action
1543630,Adventure
1543630,Indie
1543630,RPG
1543630,Early Access
1537740,Casual
1537740,Indie
1906220,Action
